value,real
"tf.Tensor([84.79077], shape=(1,), dtype=float32)",74
"tf.Tensor([107.22988], shape=(1,), dtype=float32)",108
"tf.Tensor([93.66283], shape=(1,), dtype=float32)",74
"tf.Tensor([110.764114], shape=(1,), dtype=float32)",106
"tf.Tensor([95.45462], shape=(1,), dtype=float32)",105
"tf.Tensor([80.46457], shape=(1,), dtype=float32)",75
"tf.Tensor([99.01968], shape=(1,), dtype=float32)",108
"tf.Tensor([93.761826], shape=(1,), dtype=float32)",77
"tf.Tensor([113.74085], shape=(1,), dtype=float32)",81
"tf.Tensor([109.84799], shape=(1,), dtype=float32)",110
"tf.Tensor([97.90822], shape=(1,), dtype=float32)",81
"tf.Tensor([107.06654], shape=(1,), dtype=float32)",109
"tf.Tensor([84.10011], shape=(1,), dtype=float32)",79
"tf.Tensor([112.91511], shape=(1,), dtype=float32)",112
"tf.Tensor([102.30362], shape=(1,), dtype=float32)",109
"tf.Tensor([84.48787], shape=(1,), dtype=float32)",82
"tf.Tensor([104.186935], shape=(1,), dtype=float32)",111
"tf.Tensor([103.032684], shape=(1,), dtype=float32)",82
"tf.Tensor([114.920654], shape=(1,), dtype=float32)",82
"tf.Tensor([106.898094], shape=(1,), dtype=float32)",110
"tf.Tensor([87.467804], shape=(1,), dtype=float32)",112
"tf.Tensor([75.806656], shape=(1,), dtype=float32)",79
"tf.Tensor([80.8052], shape=(1,), dtype=float32)",82
"tf.Tensor([108.54128], shape=(1,), dtype=float32)",110
"tf.Tensor([103.5329], shape=(1,), dtype=float32)",111
"tf.Tensor([79.87625], shape=(1,), dtype=float32)",80
"tf.Tensor([78.08835], shape=(1,), dtype=float32)",79
"tf.Tensor([109.464806], shape=(1,), dtype=float32)",109
"tf.Tensor([105.98181], shape=(1,), dtype=float32)",110
"tf.Tensor([86.51407], shape=(1,), dtype=float32)",80
"tf.Tensor([84.52507], shape=(1,), dtype=float32)",78
"tf.Tensor([114.206894], shape=(1,), dtype=float32)",108
"tf.Tensor([101.04259], shape=(1,), dtype=float32)",78
"tf.Tensor([108.379944], shape=(1,), dtype=float32)",112
"tf.Tensor([92.10769], shape=(1,), dtype=float32)",114
"tf.Tensor([81.185455], shape=(1,), dtype=float32)",80
"tf.Tensor([105.51832], shape=(1,), dtype=float32)",78
"tf.Tensor([106.34396], shape=(1,), dtype=float32)",112
"tf.Tensor([95.690765], shape=(1,), dtype=float32)",81
"tf.Tensor([109.9666], shape=(1,), dtype=float32)",114
"tf.Tensor([94.84864], shape=(1,), dtype=float32)",109
"tf.Tensor([76.223404], shape=(1,), dtype=float32)",79
"tf.Tensor([81.943375], shape=(1,), dtype=float32)",75
"tf.Tensor([101.713455], shape=(1,), dtype=float32)",104
"tf.Tensor([90.42641], shape=(1,), dtype=float32)",108
"tf.Tensor([78.07058], shape=(1,), dtype=float32)",78
"tf.Tensor([92.26114], shape=(1,), dtype=float32)",75
"tf.Tensor([106.151566], shape=(1,), dtype=float32)",107
"tf.Tensor([93.03591], shape=(1,), dtype=float32)",71
