value
"tf.Tensor([71.19732], shape=(1,), dtype=float32)"
"tf.Tensor([66.00663], shape=(1,), dtype=float32)"
"tf.Tensor([36.2713], shape=(1,), dtype=float32)"
"tf.Tensor([63.531307], shape=(1,), dtype=float32)"
"tf.Tensor([79.8282], shape=(1,), dtype=float32)"
"tf.Tensor([57.054367], shape=(1,), dtype=float32)"
"tf.Tensor([79.41323], shape=(1,), dtype=float32)"
"tf.Tensor([61.639626], shape=(1,), dtype=float32)"
"tf.Tensor([71.94295], shape=(1,), dtype=float32)"
"tf.Tensor([60.920177], shape=(1,), dtype=float32)"
"tf.Tensor([71.219215], shape=(1,), dtype=float32)"
"tf.Tensor([76.333824], shape=(1,), dtype=float32)"
"tf.Tensor([50.64668], shape=(1,), dtype=float32)"
"tf.Tensor([59.967537], shape=(1,), dtype=float32)"
"tf.Tensor([76.80921], shape=(1,), dtype=float32)"
"tf.Tensor([70.06119], shape=(1,), dtype=float32)"
"tf.Tensor([51.25737], shape=(1,), dtype=float32)"
"tf.Tensor([61.704155], shape=(1,), dtype=float32)"
"tf.Tensor([55.241642], shape=(1,), dtype=float32)"
"tf.Tensor([64.45046], shape=(1,), dtype=float32)"
"tf.Tensor([89.689186], shape=(1,), dtype=float32)"
"tf.Tensor([69.31541], shape=(1,), dtype=float32)"
"tf.Tensor([57.871525], shape=(1,), dtype=float32)"
"tf.Tensor([83.67733], shape=(1,), dtype=float32)"
"tf.Tensor([64.02201], shape=(1,), dtype=float32)"
"tf.Tensor([89.75689], shape=(1,), dtype=float32)"
"tf.Tensor([60.500725], shape=(1,), dtype=float32)"
"tf.Tensor([87.01801], shape=(1,), dtype=float32)"
"tf.Tensor([90.361824], shape=(1,), dtype=float32)"
"tf.Tensor([63.88231], shape=(1,), dtype=float32)"
"tf.Tensor([85.98153], shape=(1,), dtype=float32)"
"tf.Tensor([64.48887], shape=(1,), dtype=float32)"
"tf.Tensor([86.23345], shape=(1,), dtype=float32)"
"tf.Tensor([68.028984], shape=(1,), dtype=float32)"
"tf.Tensor([87.12527], shape=(1,), dtype=float32)"
"tf.Tensor([70.328415], shape=(1,), dtype=float32)"
"tf.Tensor([86.46348], shape=(1,), dtype=float32)"
"tf.Tensor([69.023], shape=(1,), dtype=float32)"
"tf.Tensor([68.71917], shape=(1,), dtype=float32)"
"tf.Tensor([87.30665], shape=(1,), dtype=float32)"
"tf.Tensor([73.08874], shape=(1,), dtype=float32)"
"tf.Tensor([86.71453], shape=(1,), dtype=float32)"
"tf.Tensor([96.07683], shape=(1,), dtype=float32)"
"tf.Tensor([69.35503], shape=(1,), dtype=float32)"
"tf.Tensor([92.84887], shape=(1,), dtype=float32)"
"tf.Tensor([91.896736], shape=(1,), dtype=float32)"
"tf.Tensor([68.46634], shape=(1,), dtype=float32)"
"tf.Tensor([67.54951], shape=(1,), dtype=float32)"
"tf.Tensor([106.98446], shape=(1,), dtype=float32)"
"tf.Tensor([74.52097], shape=(1,), dtype=float32)"
