value
"tf.Tensor([74.94262], shape=(1,), dtype=float32)"
"tf.Tensor([57.424053], shape=(1,), dtype=float32)"
"tf.Tensor([75.10734], shape=(1,), dtype=float32)"
"tf.Tensor([56.494957], shape=(1,), dtype=float32)"
"tf.Tensor([47.70726], shape=(1,), dtype=float32)"
"tf.Tensor([53.71897], shape=(1,), dtype=float32)"
"tf.Tensor([73.89634], shape=(1,), dtype=float32)"
"tf.Tensor([62.25605], shape=(1,), dtype=float32)"
"tf.Tensor([79.68296], shape=(1,), dtype=float32)"
"tf.Tensor([60.434013], shape=(1,), dtype=float32)"
"tf.Tensor([42.202137], shape=(1,), dtype=float32)"
"tf.Tensor([64.18528], shape=(1,), dtype=float32)"
"tf.Tensor([52.957367], shape=(1,), dtype=float32)"
"tf.Tensor([60.48328], shape=(1,), dtype=float32)"
"tf.Tensor([59.17101], shape=(1,), dtype=float32)"
"tf.Tensor([75.09802], shape=(1,), dtype=float32)"
"tf.Tensor([83.305504], shape=(1,), dtype=float32)"
"tf.Tensor([72.30816], shape=(1,), dtype=float32)"
"tf.Tensor([53.685505], shape=(1,), dtype=float32)"
"tf.Tensor([65.23816], shape=(1,), dtype=float32)"
"tf.Tensor([43.02874], shape=(1,), dtype=float32)"
"tf.Tensor([48.531082], shape=(1,), dtype=float32)"
"tf.Tensor([87.27209], shape=(1,), dtype=float32)"
"tf.Tensor([79.55388], shape=(1,), dtype=float32)"
"tf.Tensor([49.715317], shape=(1,), dtype=float32)"
"tf.Tensor([73.296555], shape=(1,), dtype=float32)"
"tf.Tensor([44.219963], shape=(1,), dtype=float32)"
"tf.Tensor([50.095768], shape=(1,), dtype=float32)"
"tf.Tensor([87.250725], shape=(1,), dtype=float32)"
"tf.Tensor([79.79641], shape=(1,), dtype=float32)"
"tf.Tensor([49.780457], shape=(1,), dtype=float32)"
"tf.Tensor([69.664986], shape=(1,), dtype=float32)"
"tf.Tensor([44.101913], shape=(1,), dtype=float32)"
"tf.Tensor([56.512283], shape=(1,), dtype=float32)"
"tf.Tensor([93.1657], shape=(1,), dtype=float32)"
"tf.Tensor([86.220695], shape=(1,), dtype=float32)"
"tf.Tensor([60.32724], shape=(1,), dtype=float32)"
"tf.Tensor([78.828964], shape=(1,), dtype=float32)"
"tf.Tensor([50.493504], shape=(1,), dtype=float32)"
"tf.Tensor([57.875698], shape=(1,), dtype=float32)"
"tf.Tensor([54.6282], shape=(1,), dtype=float32)"
"tf.Tensor([61.292183], shape=(1,), dtype=float32)"
"tf.Tensor([85.98051], shape=(1,), dtype=float32)"
"tf.Tensor([62.243725], shape=(1,), dtype=float32)"
"tf.Tensor([81.82271], shape=(1,), dtype=float32)"
"tf.Tensor([61.981018], shape=(1,), dtype=float32)"
"tf.Tensor([45.471428], shape=(1,), dtype=float32)"
"tf.Tensor([52.819714], shape=(1,), dtype=float32)"
"tf.Tensor([79.28161], shape=(1,), dtype=float32)"
"tf.Tensor([59.074577], shape=(1,), dtype=float32)"
"tf.Tensor([49.26458], shape=(1,), dtype=float32)"
"tf.Tensor([61.689545], shape=(1,), dtype=float32)"
"tf.Tensor([72.07774], shape=(1,), dtype=float32)"
"tf.Tensor([55.584946], shape=(1,), dtype=float32)"
"tf.Tensor([73.33468], shape=(1,), dtype=float32)"
"tf.Tensor([51.56748], shape=(1,), dtype=float32)"
"tf.Tensor([67.301544], shape=(1,), dtype=float32)"
"tf.Tensor([52.85107], shape=(1,), dtype=float32)"
"tf.Tensor([68.06247], shape=(1,), dtype=float32)"
"tf.Tensor([50.928337], shape=(1,), dtype=float32)"
"tf.Tensor([44.490494], shape=(1,), dtype=float32)"
"tf.Tensor([60.1668], shape=(1,), dtype=float32)"
"tf.Tensor([73.87786], shape=(1,), dtype=float32)"
"tf.Tensor([54.30181], shape=(1,), dtype=float32)"
"tf.Tensor([48.463585], shape=(1,), dtype=float32)"
"tf.Tensor([57.967995], shape=(1,), dtype=float32)"
"tf.Tensor([51.558273], shape=(1,), dtype=float32)"
"tf.Tensor([73.05752], shape=(1,), dtype=float32)"
"tf.Tensor([81.74941], shape=(1,), dtype=float32)"
"tf.Tensor([59.46743], shape=(1,), dtype=float32)"
"tf.Tensor([56.05107], shape=(1,), dtype=float32)"
"tf.Tensor([73.090164], shape=(1,), dtype=float32)"
"tf.Tensor([56.642185], shape=(1,), dtype=float32)"
"tf.Tensor([78.47578], shape=(1,), dtype=float32)"
"tf.Tensor([60.14277], shape=(1,), dtype=float32)"
"tf.Tensor([82.01407], shape=(1,), dtype=float32)"
"tf.Tensor([85.08529], shape=(1,), dtype=float32)"
"tf.Tensor([62.321663], shape=(1,), dtype=float32)"
"tf.Tensor([84.19649], shape=(1,), dtype=float32)"
"tf.Tensor([62.358192], shape=(1,), dtype=float32)"
"tf.Tensor([81.97428], shape=(1,), dtype=float32)"
"tf.Tensor([63.241875], shape=(1,), dtype=float32)"
"tf.Tensor([83.241875], shape=(1,), dtype=float32)"
"tf.Tensor([62.859814], shape=(1,), dtype=float32)"
"tf.Tensor([84.690346], shape=(1,), dtype=float32)"
"tf.Tensor([63.81272], shape=(1,), dtype=float32)"
"tf.Tensor([66.13497], shape=(1,), dtype=float32)"
"tf.Tensor([84.223976], shape=(1,), dtype=float32)"
"tf.Tensor([66.750275], shape=(1,), dtype=float32)"
"tf.Tensor([85.41422], shape=(1,), dtype=float32)"
"tf.Tensor([103.551796], shape=(1,), dtype=float32)"
"tf.Tensor([76.109764], shape=(1,), dtype=float32)"
"tf.Tensor([93.29832], shape=(1,), dtype=float32)"
"tf.Tensor([89.3151], shape=(1,), dtype=float32)"
"tf.Tensor([68.86002], shape=(1,), dtype=float32)"
"tf.Tensor([83.94393], shape=(1,), dtype=float32)"
"tf.Tensor([103.4002], shape=(1,), dtype=float32)"
"tf.Tensor([77.54075], shape=(1,), dtype=float32)"
"tf.Tensor([86.61067], shape=(1,), dtype=float32)"
"tf.Tensor([71.20513], shape=(1,), dtype=float32)"
"tf.Tensor([85.00881], shape=(1,), dtype=float32)"
"tf.Tensor([88.49573], shape=(1,), dtype=float32)"
"tf.Tensor([100.51449], shape=(1,), dtype=float32)"
"tf.Tensor([88.38381], shape=(1,), dtype=float32)"
"tf.Tensor([67.23388], shape=(1,), dtype=float32)"
"tf.Tensor([82.196365], shape=(1,), dtype=float32)"
"tf.Tensor([104.06014], shape=(1,), dtype=float32)"
"tf.Tensor([87.497574], shape=(1,), dtype=float32)"
"tf.Tensor([68.74613], shape=(1,), dtype=float32)"
"tf.Tensor([81.0548], shape=(1,), dtype=float32)"
"tf.Tensor([108.845634], shape=(1,), dtype=float32)"
"tf.Tensor([83.21264], shape=(1,), dtype=float32)"
"tf.Tensor([76.582405], shape=(1,), dtype=float32)"
"tf.Tensor([79.61523], shape=(1,), dtype=float32)"
"tf.Tensor([104.30876], shape=(1,), dtype=float32)"
"tf.Tensor([85.97344], shape=(1,), dtype=float32)"
"tf.Tensor([105.24212], shape=(1,), dtype=float32)"
"tf.Tensor([99.67142], shape=(1,), dtype=float32)"
"tf.Tensor([74.63467], shape=(1,), dtype=float32)"
"tf.Tensor([82.17661], shape=(1,), dtype=float32)"
"tf.Tensor([111.64083], shape=(1,), dtype=float32)"
"tf.Tensor([99.26449], shape=(1,), dtype=float32)"
"tf.Tensor([64.499054], shape=(1,), dtype=float32)"
"tf.Tensor([79.03103], shape=(1,), dtype=float32)"
"tf.Tensor([112.12056], shape=(1,), dtype=float32)"
"tf.Tensor([85.39579], shape=(1,), dtype=float32)"
"tf.Tensor([109.13195], shape=(1,), dtype=float32)"
"tf.Tensor([105.08885], shape=(1,), dtype=float32)"
"tf.Tensor([81.18873], shape=(1,), dtype=float32)"
"tf.Tensor([91.08003], shape=(1,), dtype=float32)"
"tf.Tensor([95.616684], shape=(1,), dtype=float32)"
"tf.Tensor([102.968834], shape=(1,), dtype=float32)"
"tf.Tensor([105.20305], shape=(1,), dtype=float32)"
"tf.Tensor([81.28396], shape=(1,), dtype=float32)"
"tf.Tensor([108.15055], shape=(1,), dtype=float32)"
"tf.Tensor([85.13897], shape=(1,), dtype=float32)"
"tf.Tensor([109.18392], shape=(1,), dtype=float32)"
"tf.Tensor([106.08242], shape=(1,), dtype=float32)"
"tf.Tensor([78.5207], shape=(1,), dtype=float32)"
"tf.Tensor([99.29835], shape=(1,), dtype=float32)"
"tf.Tensor([86.14831], shape=(1,), dtype=float32)"
"tf.Tensor([87.00441], shape=(1,), dtype=float32)"
"tf.Tensor([106.25179], shape=(1,), dtype=float32)"
"tf.Tensor([85.27584], shape=(1,), dtype=float32)"
"tf.Tensor([84.868965], shape=(1,), dtype=float32)"
"tf.Tensor([92.63164], shape=(1,), dtype=float32)"
"tf.Tensor([107.82872], shape=(1,), dtype=float32)"
"tf.Tensor([108.65722], shape=(1,), dtype=float32)"
"tf.Tensor([76.854774], shape=(1,), dtype=float32)"
"tf.Tensor([85.18582], shape=(1,), dtype=float32)"
"tf.Tensor([105.358604], shape=(1,), dtype=float32)"
"tf.Tensor([103.84597], shape=(1,), dtype=float32)"
"tf.Tensor([78.92428], shape=(1,), dtype=float32)"
"tf.Tensor([86.99305], shape=(1,), dtype=float32)"
"tf.Tensor([107.72221], shape=(1,), dtype=float32)"
"tf.Tensor([86.54899], shape=(1,), dtype=float32)"
"tf.Tensor([78.10366], shape=(1,), dtype=float32)"
"tf.Tensor([83.705376], shape=(1,), dtype=float32)"
"tf.Tensor([82.04691], shape=(1,), dtype=float32)"
"tf.Tensor([82.86561], shape=(1,), dtype=float32)"
"tf.Tensor([108.21543], shape=(1,), dtype=float32)"
"tf.Tensor([94.25266], shape=(1,), dtype=float32)"
"tf.Tensor([111.382545], shape=(1,), dtype=float32)"
"tf.Tensor([97.88305], shape=(1,), dtype=float32)"
"tf.Tensor([75.73299], shape=(1,), dtype=float32)"
"tf.Tensor([86.40273], shape=(1,), dtype=float32)"
"tf.Tensor([110.27033], shape=(1,), dtype=float32)"
"tf.Tensor([101.46007], shape=(1,), dtype=float32)"
"tf.Tensor([73.67714], shape=(1,), dtype=float32)"
"tf.Tensor([81.71183], shape=(1,), dtype=float32)"
"tf.Tensor([113.7488], shape=(1,), dtype=float32)"
"tf.Tensor([80.34029], shape=(1,), dtype=float32)"
"tf.Tensor([94.203255], shape=(1,), dtype=float32)"
"tf.Tensor([101.86048], shape=(1,), dtype=float32)"
"tf.Tensor([71.588326], shape=(1,), dtype=float32)"
"tf.Tensor([84.57486], shape=(1,), dtype=float32)"
"tf.Tensor([108.335594], shape=(1,), dtype=float32)"
"tf.Tensor([95.19129], shape=(1,), dtype=float32)"
"tf.Tensor([70.22689], shape=(1,), dtype=float32)"
"tf.Tensor([81.93775], shape=(1,), dtype=float32)"
"tf.Tensor([66.91733], shape=(1,), dtype=float32)"
"tf.Tensor([82.500885], shape=(1,), dtype=float32)"
"tf.Tensor([101.362755], shape=(1,), dtype=float32)"
"tf.Tensor([92.55633], shape=(1,), dtype=float32)"
"tf.Tensor([67.26389], shape=(1,), dtype=float32)"
"tf.Tensor([84.636444], shape=(1,), dtype=float32)"
"tf.Tensor([89.11767], shape=(1,), dtype=float32)"
"tf.Tensor([75.36923], shape=(1,), dtype=float32)"
"tf.Tensor([88.57545], shape=(1,), dtype=float32)"
"tf.Tensor([64.0225], shape=(1,), dtype=float32)"
"tf.Tensor([77.957016], shape=(1,), dtype=float32)"
"tf.Tensor([59.641205], shape=(1,), dtype=float32)"
"tf.Tensor([52.430115], shape=(1,), dtype=float32)"
"tf.Tensor([65.88563], shape=(1,), dtype=float32)"
"tf.Tensor([50.965973], shape=(1,), dtype=float32)"
"tf.Tensor([65.1943], shape=(1,), dtype=float32)"
"tf.Tensor([52.345295], shape=(1,), dtype=float32)"
"tf.Tensor([61.7259], shape=(1,), dtype=float32)"
"tf.Tensor([70.95675], shape=(1,), dtype=float32)"
"tf.Tensor([54.553253], shape=(1,), dtype=float32)"
"tf.Tensor([62.544853], shape=(1,), dtype=float32)"
"tf.Tensor([50.38269], shape=(1,), dtype=float32)"
"tf.Tensor([58.730106], shape=(1,), dtype=float32)"
"tf.Tensor([48.241566], shape=(1,), dtype=float32)"
"tf.Tensor([60.408947], shape=(1,), dtype=float32)"
"tf.Tensor([48.96685], shape=(1,), dtype=float32)"
"tf.Tensor([55.68545], shape=(1,), dtype=float32)"
"tf.Tensor([47.578316], shape=(1,), dtype=float32)"
"tf.Tensor([40.13524], shape=(1,), dtype=float32)"
"tf.Tensor([48.28981], shape=(1,), dtype=float32)"
"tf.Tensor([55.07483], shape=(1,), dtype=float32)"
"tf.Tensor([42.25844], shape=(1,), dtype=float32)"
"tf.Tensor([48.303375], shape=(1,), dtype=float32)"
"tf.Tensor([38.78144], shape=(1,), dtype=float32)"
"tf.Tensor([30.706154], shape=(1,), dtype=float32)"
"tf.Tensor([40.854515], shape=(1,), dtype=float32)"
"tf.Tensor([32.65836], shape=(1,), dtype=float32)"
