value,real
"tf.Tensor([106.77771], shape=(1,), dtype=float32)",106
"tf.Tensor([104.23306], shape=(1,), dtype=float32)",105
"tf.Tensor([77.40813], shape=(1,), dtype=float32)",75
"tf.Tensor([103.58352], shape=(1,), dtype=float32)",108
"tf.Tensor([77.51517], shape=(1,), dtype=float32)",77
"tf.Tensor([78.82317], shape=(1,), dtype=float32)",81
"tf.Tensor([109.56306], shape=(1,), dtype=float32)",110
"tf.Tensor([76.71514], shape=(1,), dtype=float32)",81
"tf.Tensor([108.452446], shape=(1,), dtype=float32)",109
"tf.Tensor([77.99853], shape=(1,), dtype=float32)",79
"tf.Tensor([111.891884], shape=(1,), dtype=float32)",112
"tf.Tensor([106.48144], shape=(1,), dtype=float32)",109
"tf.Tensor([83.77247], shape=(1,), dtype=float32)",82
"tf.Tensor([77.51523], shape=(1,), dtype=float32)",111
"tf.Tensor([79.14793], shape=(1,), dtype=float32)",82
"tf.Tensor([74.0542], shape=(1,), dtype=float32)",82
"tf.Tensor([105.03303], shape=(1,), dtype=float32)",110
"tf.Tensor([106.52497], shape=(1,), dtype=float32)",112
"tf.Tensor([78.48116], shape=(1,), dtype=float32)",79
"tf.Tensor([82.777504], shape=(1,), dtype=float32)",82
"tf.Tensor([107.81712], shape=(1,), dtype=float32)",110
"tf.Tensor([112.249916], shape=(1,), dtype=float32)",111
"tf.Tensor([77.6366], shape=(1,), dtype=float32)",80
"tf.Tensor([80.64777], shape=(1,), dtype=float32)",79
"tf.Tensor([105.29931], shape=(1,), dtype=float32)",109
"tf.Tensor([106.31905], shape=(1,), dtype=float32)",110
"tf.Tensor([78.12112], shape=(1,), dtype=float32)",80
"tf.Tensor([78.07059], shape=(1,), dtype=float32)",78
"tf.Tensor([106.24727], shape=(1,), dtype=float32)",108
"tf.Tensor([78.19544], shape=(1,), dtype=float32)",78
"tf.Tensor([74.49584], shape=(1,), dtype=float32)",112
"tf.Tensor([76.30896], shape=(1,), dtype=float32)",114
"tf.Tensor([80.592705], shape=(1,), dtype=float32)",80
"tf.Tensor([79.03602], shape=(1,), dtype=float32)",78
"tf.Tensor([107.613075], shape=(1,), dtype=float32)",112
"tf.Tensor([80.28803], shape=(1,), dtype=float32)",81
"tf.Tensor([107.72831], shape=(1,), dtype=float32)",114
"tf.Tensor([103.75988], shape=(1,), dtype=float32)",109
"tf.Tensor([78.264305], shape=(1,), dtype=float32)",79
"tf.Tensor([68.22564], shape=(1,), dtype=float32)",75
"tf.Tensor([102.77717], shape=(1,), dtype=float32)",104
"tf.Tensor([101.79976], shape=(1,), dtype=float32)",108
"tf.Tensor([74.789], shape=(1,), dtype=float32)",78
"tf.Tensor([76.76385], shape=(1,), dtype=float32)",75
"tf.Tensor([109.00325], shape=(1,), dtype=float32)",107
"tf.Tensor([78.799034], shape=(1,), dtype=float32)",71
"tf.Tensor([96.014], shape=(1,), dtype=float32)",104
"tf.Tensor([93.39742], shape=(1,), dtype=float32)",96
"tf.Tensor([75.57516], shape=(1,), dtype=float32)",72
"tf.Tensor([67.12853], shape=(1,), dtype=float32)",70
"tf.Tensor([99.87634], shape=(1,), dtype=float32)",98
"tf.Tensor([81.363625], shape=(1,), dtype=float32)",92
"tf.Tensor([66.753914], shape=(1,), dtype=float32)",67
"tf.Tensor([80.31143], shape=(1,), dtype=float32)",97
"tf.Tensor([74.98698], shape=(1,), dtype=float32)",70
"tf.Tensor([67.55497], shape=(1,), dtype=float32)",78
